2023-10-22 15:24:01 - CPU Usage: 0.0%, Memory Usage: 7.8%
2023-10-22 15:27:01 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 15:30:02 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 15:33:02 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 15:36:02 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 15:39:03 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 15:42:03 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 15:45:03 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 15:48:04 - CPU Usage: 6.7%, Memory Usage: 7.9%
2023-10-22 15:51:04 - CPU Usage: 6.7%, Memory Usage: 7.9%
2023-10-22 15:54:04 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 15:57:05 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 16:00:05 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 16:03:05 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 16:06:06 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 16:09:06 - CPU Usage: 6.7%, Memory Usage: 7.9%
2023-10-22 16:12:06 - CPU Usage: 0.0%, Memory Usage: 7.9%
2023-10-22 16:15:07 - CPU Usage: 0.0%, Memory Usage: 7.9%
